id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_177_cmd_setup","Cmd_setup → Exec_module","Cmd_setup → Exec_module","cross_community",5,"['comm_511','comm_512','comm_558']","Function:hermes_cli/memory_setup.py:cmd_setup","Function:tests/hermes_cli/test_setup_openclaw_migration.py:TestOfferOpenclawMigration.exec_module"
"proc_178_cmd_setup","Cmd_setup → _ProviderCollector","Cmd_setup → _ProviderCollector","cross_community",5,"['comm_511','comm_512']","Function:hermes_cli/memory_setup.py:cmd_setup","Class:plugins/memory/__init__.py:_ProviderCollector"
"proc_179_cmd_setup","Cmd_setup → Get_hermes_home","Cmd_setup → Get_hermes_home","cross_community",5,"['comm_511','comm_197','comm_22','comm_539','comm_117']","Function:hermes_cli/memory_setup.py:cmd_setup","Function:hermes_constants.py:get_hermes_home"
"proc_180_cmd_setup","Cmd_setup → Get_hermes_home","Cmd_setup → Get_hermes_home","cross_community",5,"['comm_1192','comm_878','comm_535','comm_117']","Function:plugins/memory/honcho/cli.py:cmd_setup","Function:hermes_constants.py:get_hermes_home"
"proc_181_tools_command","Tools_command → PluginManager","Tools_command → PluginManager","cross_community",5,"['comm_461','comm_460','comm_128','comm_493']","Function:hermes_cli/tools_config.py:tools_command","Class:hermes_cli/plugins.py:PluginManager"
"proc_182_process_file","Process_file → Count_tokens","Process_file → Count_tokens","cross_community",5,"['comm_5','comm_10']","Function:trajectory_compressor.py:TrajectoryCompressor.process_file","Function:trajectory_compressor.py:TrajectoryCompressor.count_tokens"
"proc_183_image_generate_tool","Image_generate_tool → Get_hermes_home","Image_generate_tool → Get_hermes_home","cross_community",5,"['comm_353','comm_100','comm_99','comm_117']","Function:tools/image_generation_tool.py:image_generate_tool","Function:hermes_constants.py:get_hermes_home"
"proc_184_cmd_profile","Cmd_profile → Sleep","Cmd_profile → Sleep","cross_community",4,"['comm_483','comm_481','comm_402','comm_24']","Function:hermes_cli/main.py:cmd_profile","Method:landingpage/script.js:TerminalDemo.sleep#1"
"proc_185_cmd_profile","Cmd_profile → Resolve_gateway_approval","Cmd_profile → Resolve_gateway_approval","cross_community",4,"['comm_483','comm_481','comm_402','comm_423']","Function:hermes_cli/main.py:cmd_profile","Function:tools/approval.py:resolve_gateway_approval"
"proc_186_cmd_profile","Cmd_profile → _get_default_hermes_home","Cmd_profile → _get_default_hermes_home","cross_community",4,"['comm_483','comm_482','comm_481']","Function:hermes_cli/main.py:cmd_profile","Function:hermes_cli/profiles.py:_get_default_hermes_home"
